reftramo,geom,idcalle,nombre,tipo_vialidad,fuente,localidad,departamento
740258,0105000020D17F00000100000001020000000200000072DE07BDD8B92141BDFBCFB3C36B5741A673DF9603BA2141ED577E0BC56B5741,70119,UYMOMVD_SN_2666,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740259,0105000020D17F0000010000000102000000020000001440CA08EBB92141816B9178BB6B5741E56ED1211CBA21416648F5CDBC6B5741,70120,UYMOMVD_SN_2636,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740260,0105000020D17F0000010000000102000000020000004CAC65F8D2B921413F6FDFF3A96B5741E032055201BA2141F139026BAB6B5741,70121,UYMOMVD_SN_2224,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740261,0105000020D17F00000100000001020000000200000018B81F77CEBA21416BAFBBCC9A6B57413CF96094A6BA21415F38E958AD6B5741,70122,UYMOMVD_SN_3270,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740263,0105000020D17F000001000000010200000005000000B3E4E170B8BA2141EB75D0E9AD6B57418690D673ADBA2141068BA8BCB36B5741A465CAC4BABA2141651E93FAB76B5741BBB2DBE8B9BA21410999B1A4B96B57415CB66395ABBA2141A3EEBF86C06B5741,70124,UYMOMVD_SN_1397,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740265,0105000020D17F00000100000001020000000200000099639177EEBA2141FD786F32B86B57417EFB74574BBB2141F15847EEBA6B5741,70126,UYMOMVD_SN_1093,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
740266,0105000020D17F00000100000001020000000200000069197CB0FFBB21419E5BA4E2AE6B5741AB78ECD9C0BB2141A88BED21AD6B5741,70127,UYMOMVD_SN_143,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
740267,0105000020D17F000001000000010200000005000000AB78ECD9C0BB2141A88BED21AD6B574176EA1608B2BB2141212956A6B46B5741C82AA90E9EBB2141B2B508DABE6B5741F558FBF999BB2141564B5B1BC16B57417FD5E14987BB2141B1EEEE79C06B5741,70128,UYMOMVD_SN_645,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740270,0105000020D17F0000010000000102000000050000005B6B9D36DEBB2141997B5FCCBB6B574157962148D1BB2141CBBF8620C26B5741F645CAE7C8BB2141B43C0DCEC16B5741A52672DBB3BB2141D18AFC2ACC6B5741CFE8F369ADBB214100FDBF2CCF6B5741,70131,UYMOMVD_SN_2683,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740274,0105000020D17F000001000000010200000009000000CD7ECA5F1CBC21410094FE93BD6B5741193EF55406BC214154668FB2C16B574115FA833EFFBB214162F2D249C66B574153C5A5DAF0BB21417D258E0FD06B5741DC930DB3EBBB21415C5A423CD26B5741BF2AEABEE0BB2141462865AFD36B5741A32D9727D8BB214118730ED0D46B5741E814CB93D5BB2141D23A3E9ED56B57410F93DB0BC8BB2141B3479384DC6B5741,70135,UYMOMVD_SN_2135,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
